FKBP6	CCNK
DDX17	WBP11
MDFI	ENKD1
STX11	CCNK
CBS	FXR2
HGS	EXOC8
AQP5	MDFI
CCNK	RFX6
MCM7	RBM8A
SALL2	CEP76
AP2M1	MED4
IFIT2	IFIT3
CTBP2	RAI2
U2AF2	PUF60
MDFI	DHRS1
AP2M1	IKZF1
NINL	GPKOW
DTNB	TRAF2
MDFI	SERF2
NRIP1	LDOC1
HSPB8	HSPB7
DVL2	U2AF2
NINL	LZTS2
LDOC1	GNL3L
CPSF6	ARMC7
DACH1	NAGK
DVL2	TIFA
ATF4	TREX2
MDFI	MFSD3
CTBP2	TEAD3
RFX2	RFX6
PMM1	RAB6A
FANCG	ZBED1
DCTD	CEP76
CCNK	RBPMS
TRAF2	THAP7
NMI	HGS
FBF1	IFT20
MDFI	FASTK
ARRB1	GNMT
NCS1	DTX2
MTF1	AP1M1
THAP1	NKAP
RBPMS	GSE1
SIAH1	AFF4
CDC23	RBPMS
DTX2	RFX6
TRAF2	TRPT1
MDFI	THAP7
MDFI	OTX1
EMD	CREB3
PAX6	IPO13
NINL	DCTN5
MDFI	PIN1
TREX1	RIBC2
RBPMS	CCER1
ILF3	MDFI
GCC1	FBF1
LPXN	IMP3
TRAF2	TRAF6
LDOC1	AATF
RARA	RXRG
LIMS1	LPXN
AIMP2	LMO3
CTBP2	NOL4
FXR2	LCMT1
RIBC2	TEX11
ILK	PARVA
CCNK	CEP76
SNF8	VPS25
TEAD4	WWTR1
LNX1	TIFA
LDOC1	IKZF5
APEX2	HOOK2
PLOD3	EHMT2
SAT1	TACO1
NCK2	ABI2
RTN3	RTN4
CEP72	LNX1
TRAF2	RIBC2
FASTK	RBPMS
AEBP2	RALYL
LIMS1	EHMT2
CTBP2	AKTIP
EIF3H	ABI3
SPG21	MTMR9
DVL3	KAT7
JUNB	NINL
SEPT2	SEPT6
PLK4	MTUS2
TRIP6	NCK2
CBX5	PRR14
CRX	M1AP
SUFU	RCN3
NRIP1	TEX11
HGS	LDOC1
FXR2	KCNRG
VASP	NOL3
ZFHX3	NINL
SALL2	ZMIZ2
KLF6	EHMT2
DVL2	DDI1
FHL3	AIMP2
PITX1	RBPMS
STMN2	TEX11
FHL3	RFX6
BBS2	PSME3
SERF2	PSME3
DVL2	RNPS1
ACTN4	MYOZ2
SAT1	DNPEP
EMC2	EMC9
MDFI	FBXW5
DVL2	CPSF7
MDFI	RFX2
LDB1	LMO3
FHL3	MED15
MCM6	SCNM1
NAGK	LNX1
RARA	RXRB
AP2B1	THAP1
EPS8	AIMP2
SERF2	RBPMS
MDFI	RABL6
RBM7	RBMX
AAR2	EAPP
FANCG	SAMD3
DVL2	SNF8
SAT1	SAT2
TRAF2	IPO11
SMAD4	SMAD9
CRK	DPPA4
PHC2	LMO3
PCM1	ABI2
CBS	HID1
GCSH	NMI
NKAP	CEP70
SRSF4	SRSF6
LIN37	TEX11
MDFI	DCAF8
TREX1	IFT20
AIMP2	LNX1
PCM1	EXOC8
NINL	SYT17
BUB1	CRK
DRG1	RWDD1
ZBED1	GPSM1
VTA1	DPPA2
ZBED1	NIP7
MDFI	SFI1
GSE1	RCOR3
TRAF2	HINFP
DDX17	LNX1
FHL3	LNX1
SF3B4	SF3B2
MDFI	SPG7
PRPS1	SPG21
NFIC	TKTL2
GCC1	CPSF7
TEX11	HYI
EMD	BEND7
STK16	RPIA
RCN3	HID1
TRAF2	SETD5
TRAF2	FATE1
DVL2	SNIP1
TRAF2	BAHD1
AP2M1	DPPA2
DVL2	PRPF3
DDIT3	MCMBP
VASP	WWP2
GPX7	SGTA
STX4	VAMP3
MEOX2	RND2
SAT1	LNX1
MLH1	FRMD6
CTBP2	TGIF1
NCALD	DTX2
LMO3	RFX6
RAI2	SGTB
DVL2	BAHD1
E2F6	TFDP1
RBPMS	TEX37
NINL	RIBC2
FHL3	LASP1
MCM10	CEP72
MDFI	PIDD1
CUTC	SPG21
MDFI	NPDC1
LDB1	SSBP2
MCRS1	MED4
DVL2	BAG3
MDFI	ATG12
AP2B1	NUP54
MDFI	CBX2
HOOK2	AKTIP
CLK2	CLK3
FXR2	LDOC1
NXT1	NXF3
MDFI	TRPV6
ABI2	IFT20
MCM5	MDFI
U2AF2	BEND7
VASP	TRIM9
MALL	CREB3
AP5B1	KCNRG
FXR2	RBMX
DVL2	TRAF2
MCM10	DPPA2
TRAF2	LZTS2
KAT7	NINL
GFAP	GRAP2
LRCH4	MDFI
XAGE2	EHMT2
GFAP	RIBC2
NINL	GCC1
MEOX2	TULP2
EYA2	RBPMS
RGS2	NINL
PRPF3	DPY30
MDFI	BAALC
E4F1	EHMT2
NRIP1	CEP70
RXRB	SPOP
MDFI	LMO3
TEX11	TCHP
ATF4	PTCD3
PIN1	RBPMS
MCM6	ING5
DVL2	RBPMS
DVL3	BAHD1
FHL3	TRIP6
FXR2	MCRS1
PSMF1	BEND7
SPG21	RTN4
EHMT2	THAP7
DVL2	ENKD1
CTBP2	NRIP1
NMI	HHLA3
EIF3F	HAX1
NCK2	SF3B4
NINL	APEX2
DRG2	RWDD1
MTMR8	MTMR9
CDK4	VTA1
TRAF2	RGS14
IPO11	PLCD4
CRY1	TRAF2
CIRBP	RBMX
CBLB	NCK2
FXR2	RTN4
MDFI	TAP1
FHL5	DNAL4
DVL3	SNX22
ALX1	IPO13
DPPA4	DPPA2
BIRC2	TRAF2
EHMT2	KLF12
UBAC1	CPSF6
DPY30	DYDC1
